Relation|RowGroup|Column|uncompressed|bb_compressed|c3_compressed|compression_ratio_improvement|bb_cr|c3_cr|datatype|C3_source_target|C3scheme|source_column|target_column|bb_source_ecr|bb_target_ecr|c3_source_ecr|c3_target_ecr|estimated_bytes_saved_source|estimated_bytes_saved_target|source_bb_scheme|target_bb_scheme|source_unique_count|target_unique_count|estimated_exception_count|real_exception_count|estimated_exception_size|real_exception_size|exception_compression_ratio|estimated_source_target_dict_size|real_source_target_dict_size|source_target_dict_compression_ratio|estimated_target_dict_size|real_target_dict_size|target_dict_compression_ratio|pearson_corr_coef|source_column_min|source_column_max|target_column_min|target_column_max|source_null_count|target_null_count|estimated_target_compressed_codes_size|real_target_compressed_codes_size|estimated_offsets_size|real_offsets_size|estimated_target_nullmap_size|real_target_nullmap_size
CityMaxCapita_1|0|17_Listed Number|262144|42969|42957|1.00028|6.10077|6.10247|integer|target|Dict_Sharing|11|16|44.765027|6.102048|27.908442|10.409149|-3537|17776|-1|-1|2|613|-1|-1|-1|-1|-1.000000|2452|2464|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|0|1|25184|42945|-1|-1|-1|-1||11|16
CityMaxCapita_1|0|18_Long Domain|383796|90898|90922|0.999736|4.22227|4.22116|string|None|None||||||||||||||||||||||||||||||||||||
CityMaxCapita_1|0|19_Long|524288|268247|268271|0.999911|1.9545|1.95432|double|None|None||||||||||||||||||||||||||||||||||||
CityMaxCapita_1|0|20_Number of Records|262144|4|28|0.142857|65536|9362.29|integer|None|None||||||||||||||||||||||||||||||||||||
CityMaxCapita_1|0|21_Region|776748|15797|15821|0.998483|49.1706|49.096|string|None|None||||||||||||||||||||||||||||||||||||
CityMaxCapita_1|0|22_Short Domain|372891|84607|84631|0.999716|4.40733|4.40608|string|None|None||||||||||||||||||||||||||||||||||||
CityMaxCapita_1|0|23_State_Country|1142397|209191|101961|2.05168|5.46102|11.2043|string|target|Dict_Sharing|1|22|4.981892|5.461363|4.802618|11.890555|-6042|113102|-1|-1|5292|5751|-1|-1|-1|-1|-1.000000|99360|104172|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|23966|2|96076|101949|-1|-1|-1|-1||1|22
CityMaxCapita_1|0|24_State|388154|43423|301660|0.143947|8.9389|1.28673|string|source|Dict_Sharing|23|28|8.947145|2.070001|1.427231|7.896431|-228580|283429|-1|-1|50|14506|-1|-1|-1|-1|-1.000000|228884|268035|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|2533|25096|100696|124361|-1|-1|-1|-1||23|28
CityMaxCapita_1|0|25_Tweet Text|5682890|3428370|3428394|0.999993|1.65761|1.6576|string|None|None||||||||||||||||||||||||||||||||||||
CityMaxCapita_1|0|26_Tweets|262144|133436|133460|0.99982|1.96457|1.96421|integer|None|None||||||||||||||||||||||||||||||||||||
CityMaxCapita_1|0|27_Twitter Client|1410658|50557|50581|0.999526|27.9023|27.8891|string|None|None||||||||||||||||||||||||||||||||||||
CityMaxCapita_1|0|28_User Bio|4002248|2473691|2473715|0.99999|1.61793|1.61791|string|None|None||||||||||||||||||||||||||||||||||||
CityMaxCapita_1|0|29_User Loc|795139|392334|124373|3.15449|2.02669|6.39318|string|target|Dict_Sharing|23|28|8.947145|2.070001|1.427231|7.896431|-228580|283429|-1|-1|50|14506|-1|-1|-1|-1|-1.000000|228884|268035|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|2533|25096|100696|124361|-1|-1|-1|-1||23|28
CityMaxCapita_1|0|30_Username 1|997422|607549|607573|0.99996|1.64171|1.64165|string|None|None||||||||||||||||||||||||||||||||||||
CityMaxCapita_1|0|31_Username|1014674|651130|651154|0.999963|1.55833|1.55827|string|None|None||||||||||||||||||||||||||||||||||||
CMSprovider_1|0|1_AVERAGE_MEDICARE_ALLOWED_AMT|524288|327026|327050|0.999927|1.6032|1.60308|double|None|None||||||||||||||||||||||||||||||||||||
CMSprovider_1|0|2_AVERAGE_MEDICARE_PAYMENT_AMT|524288|524134|524158|0.999954|1.00029|1.00025|double|None|None||||||||||||||||||||||||||||||||||||
CMSprovider_1|0|3_AVERAGE_SUBMITTED_CHRG_AMT|524288|367746|367770|0.999935|1.42568|1.42559|double|None|None||||||||||||||||||||||||||||||||||||
CMSprovider_1|0|4_BENE_DAY_SRVC_CNT|262144|68805|75393|0.912618|3.80996|3.47703|integer|target|Dict_Sharing|4|3|4.071571|3.810454|3.663634|4.690524|-7168|12907|-1|-1|794|1210|-1|-1|-1|-1|-1.000000|5100|5112|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|1|1|55888|75381|-1|-1|-1|-1||4|3
CMSprovider_1|0|5_BENE_UNIQUE_CNT|262144|64393|76562|0.841057|4.071|3.42394|integer|source|Dict_Sharing|4|3|4.071571|3.810454|3.663634|4.690524|-7168|12907|-1|-1|794|1210|-1|-1|-1|-1|-1.000000|5100|5112|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|1|1|55888|75381|-1|-1|-1|-1||4|3
CMSprovider_1|0|6_HCPCS_CODE|589823|100977|101001|0.999762|5.84116|5.83977|string|None|None||||||||||||||||||||||||||||||||||||
CMSprovider_1|0|7_HCPCS_DESCRIPTION|4087274|174255|174279|0.999862|23.4557|23.4525|string|None|None||||||||||||||||||||||||||||||||||||
CMSprovider_1|0|8_HCPCS_DRUG_INDICATOR|327683|10301|163123|0.0631487|31.8108|2.00881|string|source|Dict_Sharing|7|17|31.838613|5.258919|2.107801|14.436752|-145170|171378|-1|-1|1|7285|-1|-1|-1|-1|-1.000000|145179|161029|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|1|1|98200|108569|-1|-1|-1|-1||7|17
CMSprovider_1|0|9_LINE_SRVC_CNT|524288|81706|81730|0.999706|6.41676|6.41488|double|None|None||||||||||||||||||||||||||||||||||||
CMSprovider_1|0|10_MEDICARE_PARTICIPATION_INDICATOR|327683|18010|18034|0.998669|18.1945|18.1703|string|None|None||||||||||||||||||||||||||||||||||||
CMSprovider_1|0|11_NPI|262144|175477|116772|1.50273|1.49389|2.24492|integer|target|Dict_Sharing|20|10|65536.000000|1.493894|4.809893|2.525083|-54497|71660|-1|-1|1|14681|-1|-1|-1|-1|-1.000000|52436|58736|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|0|0|103816|116760|-1|-1|-1|-1||20|10
CMSprovider_1|0|12_NPPES_CREDENTIALS|476945|77944|73661|1.05814|6.11907|6.47486|string|target|Dict_Sharing|16|11|11.736800|6.346151|10.094678|8.220922|-5450|17139|-1|-1|58|436|-1|-1|-1|-1|-1.000000|5802|5823|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|1|1386|58016|73649|-1|-1|-1|-1||16|11
CMSprovider_1|0|13_NPPES_ENTITY_CODE|327683|10322|10346|0.99768|31.7461|31.6724|string|None|None||||||||||||||||||||||||||||||||||||
CMSprovider_1|0|14_NPPES_PROVIDER_CITY|856974|111579|111603|0.999785|7.68042|7.67877|string|None|None||||||||||||||||||||||||||||||||||||
CMSprovider_1|0|15_NPPES_PROVIDER_COUNTRY|393218|34926|34950|0.999313|11.2586|11.2509|string|None|None||||||||||||||||||||||||||||||||||||
CMSprovider_1|0|16_NPPES_PROVIDER_GENDER|327580|10661|2808|3.79665|30.7269|116.66|string|target|Dict_Sharing|21|15|30.304541|30.784701|30.290534|118.688406|-5|7881|-1|-1|2|2|-1|-1|-1|-1|-1.000000|19|40|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|1|104|2760|2796|-1|-1|-1|-1||21|15
CMSprovider_1|0|17_NPPES_PROVIDER_STATE|393218|33512|26229|1.27767|11.7336|14.9917|string|source|Dict_Sharing|16|11|11.736800|6.346151|10.094678|8.220922|-5450|17139|-1|-1|58|436|-1|-1|-1|-1|-1.000000|5802|5823|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|1|1386|58016|73649|-1|-1|-1|-1||16|11
