Relation|RowGroup|Column|uncompressed|bb_compressed|c3_compressed|compression_ratio_improvement|bb_cr|c3_cr|datatype|C3_source_target|C3scheme|source_column|target_column|bb_source_ecr|bb_target_ecr|c3_source_ecr|c3_target_ecr|estimated_bytes_saved_source|estimated_bytes_saved_target|source_bb_scheme|target_bb_scheme|source_unique_count|target_unique_count|estimated_exception_count|real_exception_count|estimated_exception_size|real_exception_size|exception_compression_ratio|estimated_source_target_dict_size|real_source_target_dict_size|source_target_dict_compression_ratio|estimated_target_dict_size|real_target_dict_size|target_dict_compression_ratio|pearson_corr_coef|source_column_min|source_column_max|target_column_min|target_column_max|source_null_count|target_null_count|estimated_target_compressed_codes_size|real_target_compressed_codes_size|estimated_offsets_size|real_offsets_size|estimated_target_nullmap_size|real_target_nullmap_size
CityMaxCapita_1|0|13_Keyword|646505|26260|26284|0.999087|24.6194|24.5969|string|None|None||||||||||||||||||||||||||||||||||||
CityMaxCapita_1|0|14_LPF|524288|146265|216534|0.675483|3.58451|2.42127|double|target|Dict_1toN|16|13|6.102048|3.584508|5.830475|5.750916|-2001|55099|BP|-1|613|6538|-1|-1|-1|-1|-1.000000|63504|141212|0.999915|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|1|0|25188|72836|2456|2468|-1|-1||16|13
CityMaxCapita_1|0|15_Language|393571|19216|466055|0.0412312|20.4814|0.844473|string|source|Dict_1toN|14|26|20.481422|27.902328|20.481422|54.966412|0|24893|BP|-1|21|46|-1|-1|-1|-1|-1.000000|810|1690|0.990533|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|0|0|24748|22088|88|100|-1|-1||14|26
CityMaxCapita_1|0|16_Lat|524288|268247|268271|0.999911|1.9545|1.95432|double|None|None||||||||||||||||||||||||||||||||||||
CityMaxCapita_1|0|17_Listed Number|262144|42969|55630|0.772407|6.10077|4.71228|integer|source|Dict_1toN|16|13|6.102048|3.584508|5.830475|5.750916|-2001|55099|BP|-1|613|6538|-1|-1|-1|-1|-1.000000|63504|141212|0.999915|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|1|0|25188|72836|2456|2468|-1|-1||16|13
CityMaxCapita_1|0|18_Long Domain|383796|90898|37013|2.45584|4.22227|10.3692|string|target|Dict_1toN|21|17|4.880900|4.641440|4.880900|11.207686|0|48445|BP|-1|969|1086|-1|-1|-1|-1|-1.000000|21410|21430|0.999253|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|55959|55959|8936|11673|3880|3892|-1|-1||21|17
CityMaxCapita_1|0|19_Long|524288|268247|268271|0.999911|1.9545|1.95432|double|None|None||||||||||||||||||||||||||||||||||||
CityMaxCapita_1|0|20_Number of Records|262144|4|28|0.142857|65536|9362.29|integer|None|None||||||||||||||||||||||||||||||||||||
CityMaxCapita_1|0|21_Region|776748|15797|278443|0.0567333|49.1706|2.78961|string|source|Dict_Sharing|20|28|49.295424|2.070001|3.136640|9.622652|-231880|301493|-1|-1|5|14506|-1|-1|-1|-1|-1.000000|231942|268026|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|2533|25096|82632|124361|-1|-1|-1|-1||20|28
CityMaxCapita_1|0|22_Short Domain|372891|84607|66421|1.2738|4.40733|5.61405|string|source|Dict_1toN|21|17|4.880900|4.641440|4.880900|11.207686|0|48445|BP|-1|969|1086|-1|-1|-1|-1|-1.000000|21410|21430|0.999253|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|55959|55959|8936|11673|3880|3892|-1|-1||21|17
CityMaxCapita_1|0|23_State_Country|1142397|209191|192109|1.08892|5.46102|5.94661|string|source|Equality|22|1|5.461363|4.981892|5.461363|193.571429|0|157695|-1|-1|5751|5292|0|0|21|-1|-1.000000|-1|-1|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|2|23966|-1|-1|-1|-1|-1|32||22|1
